일시,구분,자재명,브랜드,종류,규격,수량,단가,금액,담당자,비고,위치
2025-11-01 19:46:00,입고,에어임팩,토쿠,에어공구,10m,141,211106,29765946,최주임,초도입고,
2025-11-01 20:05:00,입고,사포,3M,연마공구,60방,26,522,13572,judy,초도입고,
2025-11-01 20:24:00,입고,전산볼트,유진볼트,볼트/너트,M6x1000,745,51,37995,박과장,초도입고,
2025-11-01 20:43:00,입고,엔드밀,디월트,절삭공구,Φ6mm,146,18677,2726842,이대리,초도입고,
2025-11-01 21:02:00,입고,부식제거제,나바켐,케미칼,4L,55,10540,579700,관리자,초도입고,
2025-11-01 21:21:00,입고,스프링와셔,대한,볼트/너트,M12x50,2160,665,1436400,박과장,초도입고,
2025-11-01 21:40:00,입고,깊은홈베어링,SKF,베어링,6305,152,56634,8608368,judy,초도입고,
2025-11-01 21:59:00,입고,안전장갑,K2,안전용품,260,129,47197,6088413,judy,초도입고,
2025-11-01 22:18:00,입고,나사고정제,불스원,케미칼,420ml,161,32811,5282571,judy,초도입고,
2025-11-01 22:37:00,입고,아이볼트,삼성볼트,볼트/너트,M6x20,1809,1140,2062260,박과장,초도입고,
2025-11-01 22:56:00,입고,파츠클리너,록타이트,케미칼,1L,175,12151,2126425,이대리,초도입고,
2025-11-01 23:15:00,입고,평와셔,삼성볼트,볼트/너트,M16x80,175,56,9800,judy,초도입고,
2025-11-01 23:30:00,출고,실리콘호스,KPF,배관자재,1m,40,45173,1806920,이대리,납품출고,
2025-11-01 23:34:00,입고,육각볼트,세아체결,볼트/너트,M6x20,696,703,489288,judy,초도입고,
2025-11-01 23:53:00,입고,버니어캘리퍼스,카프로,측정공구,40m,74,81155,6005470,최주임,초도입고,
2025-11-02 00:12:00,입고,파츠클리너,불스원,케미칼,4L,29,14438,418702,이대리,초도입고,
2025-11-02 00:31:00,입고,가죽장갑,현대,용접자재,3.2mm,97,82424,7995128,관리자,초도입고,
2025-11-02 00:50:00,입고,유압잭,besko,유압기기,10톤,2,246736,493472,김기사,초도입고,
2025-11-02 01:09:00,입고,육각너트,KBC,볼트/너트,M6x20,1778,615,1093470,김기사,초도입고,
2025-11-02 01:28:00,입고,리머,와이지원,절삭공구,Φ10mm,131,40027,5243537,관리자,초도입고,
2025-11-02 01:47:00,입고,디지털각도기,신콘,측정공구,150mm,64,199254,12752256,박과장,초도입고,
2025-11-02 02:06:00,입고,케이블타이,LS,전기자재,100mm,23,89129,2049967,김기사,초도입고,
2025-11-02 02:25:00,입고,드라이버세트,스탠리,수공구,6인치,83,57948,4809684,최주임,초도입고,
2025-11-02 02:44:00,입고,파츠클리너,록타이트,케미칼,500ml,98,8238,807324,박과장,초도입고,
2025-11-02 02:51:00,출고,절단석,보쉬,연마공구,80방,16,6447,103152,김기사,납품출고,
2025-11-02 03:03:00,입고,방진마스크,K2,안전용품,XL,8,58622,468976,관리자,초도입고,
2025-11-02 03:22:00,입고,에어건,베스토,에어공구,1/2인치,26,106898,2779348,이대리,초도입고,
2025-11-02 03:41:00,입고,홀쏘,마끼다,절삭공구,Φ6mm,138,7595,1048110,관리자,초도입고,
2025-11-02 04:00:00,입고,원형톱,보쉬,전동공구,20V MAX,2,185260,370520,관리자,초도입고,
2025-11-02 04:19:00,입고,육각볼트,유진볼트,볼트/너트,M6x20,562,528,296736,김기사,초도입고,
2025-11-02 04:38:00,입고,윤활방청제,불스원,케미칼,500ml,17,6984,118728,관리자,초도입고,
2025-11-02 04:57:00,입고,실린더,besko,유압기기,5톤,12,520941,6251292,관리자,초도입고,
2025-11-02 05:16:00,입고,토크렌치,미스토요,측정공구,10m,125,143746,17968250,최주임,초도입고,
2025-11-02 05:35:00,입고,아이볼트,대한,볼트/너트,M12x50,1092,1503,1641276,박과장,초도입고,
2025-11-02 05:54:00,입고,전산볼트,삼성볼트,볼트/너트,M10x30,2364,672,1588608,이대리,초도입고,
2025-11-02 06:13:00,입고,용접와이어,코리아웰드,용접자재,2.6mm,6,26447,158682,관리자,초도입고,
2025-11-02 06:31:00,출고,육각볼트,세아체결,볼트/너트,M6x20,92,664,61088,최주임,매장판매,
2025-11-02 06:32:00,입고,레이저레벨,카프로,측정공구,150mm,19,11582,220058,관리자,초도입고,
2025-11-02 06:51:00,입고,깊은홈베어링,KOYO,베어링,6305,50,19555,977750,이대리,초도입고,
2025-11-02 07:03:00,출고,니퍼,세신,수공구,12인치,21,68144,1431024,이대리,수리용출고,
2025-11-02 07:10:00,입고,해머드릴,보쉬,전동공구,750W,1,166784,166784,박과장,초도입고,
2025-11-02 07:22:00,출고,버니어캘리퍼스,카프로,측정공구,40m,39,96308,3756012,김기사,급출고,
2025-11-02 07:29:00,입고,에어건,잉가솔랜드,에어공구,3/8인치,163,149226,24323838,이대리,초도입고,
2025-11-02 07:48:00,입고,충전드릴,계양,전동공구,750W,2,384602,769204,judy,초도입고,
2025-11-02 08:07:00,입고,테이퍼베어링,SKF,베어링,6204,35,24496,857360,김기사,초도입고,
2025-11-02 08:26:00,입고,압착단자,LS,전기자재,2.5SQ,70,57392,4017440,박과장,초도입고,
2025-11-02 08:45:00,입고,평와셔,KBC,볼트/너트,M10x30,296,1132,335072,관리자,초도입고,
2025-11-02 08:56:00,출고,스프링와셔,대한,볼트/너트,M12x50,400,894,357600,이대리,급출고,
2025-11-02 09:04:00,입고,앙카볼트,유진볼트,볼트/너트,M6x1000,416,1918,797888,judy,초도입고,
2025-11-02 09:23:00,입고,사포,보쉬,연마공구,120방,18,13354,240372,관리자,초도입고,
2025-11-02 09:39:00,입고,실리콘호스,KPF,배관자재,1m,126,36841,4641966,최주임,거래처입고,
2025-11-02 09:42:00,입고,버니어캘리퍼스,미스토요,측정공구,300mm,75,32873,2465475,박과장,초도입고,
2025-11-02 10:01:00,입고,충전드릴,보쉬,전동공구,12V,9,216326,1946934,judy,초도입고,
2025-11-02 10:20:00,입고,유압호스,에너팩,유압기기,20톤,16,340787,5452592,박과장,초도입고,
2025-11-02 10:39:00,입고,실리콘호스,KPF,배관자재,2m,139,7883,1095737,김기사,초도입고,
2025-11-02 10:41:00,출고,육각너트,삼성볼트,볼트/너트,M12x50,219,353,77307,김기사,납품출고,
2025-11-02 10:58:00,입고,사포,대성연마,연마공구,5인치,71,3789,269019,박과장,초도입고,
2025-11-02 11:02:00,출고,평와셔,삼성볼트,볼트/너트,M6x20,592,1015,600880,김기사,급출고,
2025-11-02 11:17:00,입고,용접와이어,현대,용접자재,3.2mm,5,32825,164125,김기사,초도입고,
2025-11-02 11:36:00,입고,멀티탭,대한전선,전기자재,100mm,171,55771,9536841,judy,초도입고,
2025-11-02 11:52:00,출고,안전장갑,K2,안전용품,260,101,50241,5074341,김기사,매장판매,
2025-11-02 11:55:00,입고,필로우블록,KOYO,베어링,UCP205,134,73230,9812820,최주임,초도입고,
2025-11-02 12:14:00,입고,연마석,노턴,연마공구,5인치,28,10620,297360,관리자,초도입고,
2025-11-02 12:33:00,입고,육각볼트,KBC,볼트/너트,M12x50,340,1009,343060,관리자,초도입고,
2025-11-02 12:52:00,입고,아이볼트,세아체결,볼트/너트,M12x50,1616,1098,1774368,김기사,초도입고,
2025-11-02 13:11:00,입고,홀쏘,와이지원,절삭공구,Φ8mm,19,31471,597949,judy,초도입고,
2025-11-02 13:13:00,출고,스프링와셔,삼성볼트,볼트/너트,M10x30,72,1823,131256,박과장,급출고,
2025-11-02 13:30:00,입고,육각볼트,대한,볼트/너트,M6x1000,1528,44,67232,judy,초도입고,
2025-11-02 13:49:00,입고,버니어캘리퍼스,블루버드,측정공구,150mm,107,92457,9892899,이대리,초도입고,
2025-11-02 13:52:00,입고,디지털각도기,신콘,측정공구,150mm,123,200225,24627675,관리자,거래처입고,
2025-11-02 14:08:00,입고,평와셔,삼성볼트,볼트/너트,M8,1984,1019,2021696,관리자,초도입고,
2025-11-02 14:18:00,출고,가죽장갑,현대,용접자재,3.2mm,95,106323,10100685,관리자,매장판매,
2025-11-02 14:27:00,입고,보안경,3M,안전용품,L,154,13881,2137674,최주임,초도입고,
2025-11-02 14:46:00,입고,전선,3M,전기자재,4SQ,4,44558,178232,최주임,초도입고,
2025-11-02 15:05:00,입고,버니어캘리퍼스,카프로,측정공구,5m,180,60830,10949400,김기사,초도입고,
2025-11-02 15:24:00,입고,니플,세진,배관자재,1m,8,13675,109400,관리자,초도입고,
2025-11-02 15:39:00,출고,원형톱,보쉬,전동공구,20V MAX,1,176655,176655,김기사,납품출고,
2025-11-02 15:43:00,입고,가죽장갑,현대,용접자재,1.2mm,166,33403,5544898,judy,초도입고,
2025-11-02 16:02:00,입고,멀티탭,대원전선,전기자재,20A,17,6970,118490,김기사,초도입고,
2025-11-02 16:21:00,입고,스프링와셔,KBC,볼트/너트,M6x20,1141,177,201957,김기사,초도입고,
2025-11-02 16:37:00,출고,평와셔,KBC,볼트/너트,M10x30,237,1504,356448,최주임,수리용출고,
2025-11-02 16:40:00,입고,케이블타이,서통,전기자재,20A,29,65297,1893613,관리자,초도입고,
2025-11-02 16:59:00,입고,방진마스크,3M,안전용품,260,146,37039,5407694,judy,초도입고,
2025-11-02 17:18:00,입고,홀쏘,디월트,절삭공구,12x100,93,39947,3715071,박과장,초도입고,
2025-11-02 17:24:00,출고,평와셔,대한,볼트/너트,M6x1000,75,652,48900,관리자,거래처납품,
2025-11-02 17:25:00,출고,아이볼트,대한,볼트/너트,M12x50,86,1603,137858,관리자,수리용출고,
2025-11-02 17:37:00,입고,엔드밀,디월트,절삭공구,Φ8mm,158,39023,6165634,박과장,초도입고,
2025-11-02 17:46:00,입고,용접와이어,코리아웰드,용접자재,2.6mm,10,30680,306800,최주임,월초보충,
2025-11-02 17:56:00,입고,아이볼트,대한,볼트/너트,M6x1000,336,660,221760,이대리,초도입고,
2025-11-02 17:58:00,출고,에어임팩,베스토,에어공구,10m,3,154353,463059,김기사,납품출고,
2025-11-02 18:15:00,입고,보안경,3M,안전용품,XL,68,44254,3009272,judy,초도입고,
2025-11-02 18:34:00,입고,부식제거제,나바켐,케미칼,1L,37,6868,254116,김기사,초도입고,
2025-11-02 18:53:00,입고,아이볼트,유진볼트,볼트/너트,M6x20,2000,326,652000,김기사,초도입고,
2025-11-02 19:01:00,출고,깊은홈베어링,SKF,베어링,6305,137,65884,9026108,judy,매장판매,
2025-11-02 19:10:00,출고,나사고정제,불스원,케미칼,420ml,100,36700,3670000,최주임,수리용출고,
2025-11-02 19:12:00,입고,윤활방청제,록타이트,케미칼,360ml,180,14833,2669940,관리자,초도입고,
2025-11-02 19:20:00,입고,파츠클리너,불스원,케미칼,4L,63,16704,1052352,최주임,월초보충,
2025-11-02 19:31:00,입고,안전화,3M,안전용품,M,151,4048,611248,관리자,초도입고,
2025-11-02 19:44:00,출고,실린더,베스코,유압기기,20톤,1,434327,434327,최주임,거래처납품,
2025-11-02 19:50:00,입고,압착단자,서통,전기자재,20A,105,51559,5413695,관리자,초도입고,
2025-11-02 20:09:00,입고,버니어캘리퍼스,미스토요,측정공구,1/2인치,112,34645,3880240,이대리,초도입고,
2025-11-02 20:25:00,출고,엔드밀,디월트,절삭공구,Φ6mm,97,27150,2633550,이대리,납품출고,
2025-11-02 20:28:00,입고,유압잭,besko,유압기기,2m,7,61796,432572,judy,초도입고,
2025-11-02 20:47:00,입고,사포,대성연마,연마공구,60방,135,7027,948645,김기사,초도입고,
2025-11-02 20:49:00,출고,차단기,서통,전기자재,50A,33,59535,1964655,김기사,매장판매,
2025-11-02 21:06:00,입고,부식제거제,불스원,케미칼,220ml,91,32260,2935660,judy,초도입고,
2025-11-02 21:25:00,입고,임팩드라이버,보쉬,전동공구,18V,14,202267,2831738,김기사,초도입고,
2025-11-02 21:41:00,출고,사포,대성연마,연마공구,5인치,18,3506,63108,박과장,매장판매,
2025-11-02 21:44:00,입고,육각볼트,삼성볼트,볼트/너트,M8,1670,986,1646620,김기사,초도입고,
2025-11-02 21:47:00,출고,육각볼트,유진볼트,볼트/너트,M6x20,127,797,101219,최주임,거래처납품,
2025-11-02 21:47:00,출고,보안경,3M,안전용품,L,79,17799,1406121,이대리,거래처납품,
2025-11-02 22:03:00,입고,플랩디스크,노턴,연마공구,120방,29,2082,60378,박과장,초도입고,
2025-11-02 22:06:00,출고,스프링와셔,삼성볼트,볼트/너트,M6x20,53,46,2438,최주임,수리용출고,
2025-11-02 22:22:00,입고,용접와이어,세아ESAB,용접자재,3.2mm,50,45126,2256300,judy,초도입고,
2025-11-02 22:25:00,입고,실린더,베스코,유압기기,20톤,12,315981,3791772,김기사,거래처입고,
2025-11-02 22:39:00,출고,테이퍼베어링,SKF,베어링,6204,17,22125,376125,최주임,거래처납품,
2025-11-02 22:41:00,입고,몽키스패너,스탠리,수공구,10인치,79,59934,4734786,관리자,초도입고,
2025-11-02 23:00:00,입고,줄자,신콘,측정공구,150mm,59,110437,6515783,김기사,초도입고,
2025-11-02 23:19:00,입고,니들베어링,SKF,베어링,30205,35,2874,100590,김기사,초도입고,
2025-11-02 23:22:00,입고,전산볼트,삼성볼트,볼트/너트,M10x30,1455,637,926835,judy,긴급보충,
2025-11-02 23:35:00,입고,아이볼트,세아체결,볼트/너트,M12x50,1373,1068,1466364,관리자,거래처입고,
2025-11-02 23:38:00,입고,깊은홈베어링,KOYO,베어링,30205,56,24230,1356880,최주임,초도입고,
2025-11-02 23:57:00,입고,케이블타이,3M,전기자재,2.5SQ,24,22883,549192,박과장,초도입고,
2025-11-03 00:16:00,입고,실리콘호스,세진,배관자재,1m,26,37281,969306,김기사,초도입고,
2025-11-03 00:35:00,입고,PVC파이프,대한파이프,배관자재,20A,30,39949,1198470,박과장,초도입고,
2025-11-03 00:54:00,입고,육각볼트,세아체결,볼트/너트,M6x1000,1679,240,402960,judy,초도입고,
2025-11-03 01:13:00,입고,몽키스패너,세신,수공구,10인치,72,11815,850680,이대리,초도입고,
2025-11-03 01:32:00,입고,드라이버세트,스탠리,수공구,10인치,167,48413,8084971,관리자,초도입고,
2025-11-03 01:48:00,출고,평와셔,삼성볼트,볼트/너트,M16x80,84,74,6216,관리자,수리용출고,
2025-11-03 01:51:00,입고,콤프레서호스,SP에어,에어공구,1/2인치,152,67186,10212272,이대리,초도입고,
2025-11-03 01:57:00,출고,윤활방청제,록타이트,케미칼,360ml,8,20555,164440,judy,현장출고,
2025-11-03 02:10:00,입고,아이볼트,KBC,볼트/너트,M18x90,158,182,28756,박과장,초도입고,
2025-11-03 02:29:00,입고,에어건,잉가솔랜드,에어공구,10m,20,180655,3613100,최주임,초도입고,
2025-11-03 02:48:00,입고,나사고정제,나바켐,케미칼,1L,130,7463,970190,박과장,초도입고,
2025-11-03 03:00:00,출고,리머,디월트,절삭공구,Φ4mm,5,14901,74505,이대리,수리용출고,
2025-11-03 03:07:00,입고,그라인더,계양,전동공구,18V,12,351964,4223568,관리자,초도입고,
2025-11-03 03:20:00,출고,토크렌치,미스토요,측정공구,10m,68,143442,9754056,박과장,거래처납품,
2025-11-03 03:26:00,입고,차단기,LS,전기자재,4SQ,40,45314,1812560,박과장,초도입고,
2025-11-03 03:45:00,입고,사포,노턴,연마공구,80방,5,10005,50025,김기사,초도입고,
2025-11-03 03:58:00,입고,절단석,보쉬,연마공구,80방,8,4939,39512,최주임,월초보충,
2025-11-03 04:04:00,입고,플라이어,스탠리,수공구,6인치,136,42963,5842968,이대리,초도입고,
2025-11-03 04:18:00,입고,임팩드라이버,보쉬,전동공구,18V,3,242952,728856,최주임,월초보충,
2025-11-03 04:23:00,입고,임팩드라이버,밀워키,전동공구,18V,15,234261,3513915,관리자,초도입고,
2025-11-03 04:38:00,입고,육각볼트,세아체결,볼트/너트,M6x20,649,687,445863,이대리,거래처입고,
2025-11-03 04:42:00,입고,용접와이어,코리아웰드,용접자재,0.9mm,148,70592,10447616,박과장,초도입고,
2025-11-03 05:01:00,입고,절단석,보쉬,연마공구,60방,17,10379,176443,박과장,초도입고,
2025-11-03 05:09:00,입고,연마석,노턴,연마공구,5인치,137,12760,1748120,최주임,긴급보충,
2025-11-03 05:14:00,출고,케이블타이,LS,전기자재,100mm,11,111544,1226984,관리자,급출고,
2025-11-03 05:20:00,입고,실리콘실란트,WD-40,케미칼,220ml,89,38228,3402292,이대리,초도입고,
2025-11-03 05:39:00,입고,멀티탭,LS,전기자재,100mm,24,49455,1186920,관리자,초도입고,
2025-11-03 05:58:00,입고,실리콘실란트,불스원,케미칼,360ml,47,12745,599015,김기사,초도입고,
2025-11-03 06:08:00,출고,사포,보쉬,연마공구,80방,11,11898,130878,이대리,급출고,
2025-11-03 06:17:00,입고,해머드릴,디월트,전동공구,750W,11,337538,3712918,김기사,초도입고,
2025-11-03 06:30:00,출고,줄자,신콘,측정공구,150mm,3,117028,351084,최주임,매장판매,
2025-11-03 06:36:00,입고,아이볼트,세아체결,볼트/너트,M6x1000,350,1469,514150,최주임,초도입고,
2025-11-03 06:55:00,입고,압착단자,3M,전기자재,100mm,16,108184,1730944,이대리,초도입고,
2025-11-03 06:59:00,출고,디지털각도기,신콘,측정공구,150mm,175,209807,36716225,최주임,매장판매,
2025-11-03 07:14:00,입고,실리콘호스,KPF,배관자재,15A,7,38298,268086,김기사,초도입고,
2025-11-03 07:33:00,입고,리머,디월트,절삭공구,Φ8mm,99,27050,2677950,김기사,초도입고,
2025-11-03 07:43:00,출고,스프링와셔,KBC,볼트/너트,M6x20,391,210,82110,최주임,수리용출고,
2025-11-03 07:49:00,출고,아이볼트,삼성볼트,볼트/너트,M6x20,355,1264,448720,관리자,수리용출고,
2025-11-03 07:52:00,입고,안전화,3M,안전용품,XL,178,52830,9403740,김기사,초도입고,
2025-11-03 08:11:00,입고,아이볼트,KBC,볼트/너트,M12x50,279,699,195021,judy,초도입고,
2025-11-03 08:25:00,출고,평와셔,삼성볼트,볼트/너트,M8,614,1232,756448,박과장,현장출고,
2025-11-03 08:30:00,출고,엔드밀,마끼다,절삭공구,Φ6mm,23,30577,703271,관리자,수리용출고,
2025-11-03 08:30:00,입고,육각볼트,대한,볼트/너트,M6x20,535,1537,822295,이대리,초도입고,
2025-11-03 08:49:00,입고,케이블타이,대원전선,전기자재,20A,9,97871,880839,최주임,초도입고,
2025-11-03 09:08:00,입고,파츠클리너,나바켐,케미칼,220ml,44,3525,155100,관리자,초도입고,
2025-11-03 09:27:00,입고,유압호스,베스코,유압기기,3m,13,159086,2068118,관리자,초도입고,
2025-11-03 09:36:00,출고,리머,디월트,절삭공구,8x75,40,7235,289400,박과장,현장출고,
2025-11-03 09:44:00,출고,몽키스패너,세신,수공구,10인치,15,14892,223380,박과장,급출고,
2025-11-03 09:46:00,입고,연마석,대성연마,연마공구,5인치,38,15437,586606,관리자,초도입고,
2025-11-03 10:05:00,입고,니들베어링,FAG,베어링,30205,128,6112,782336,judy,초도입고,
2025-11-03 10:24:00,입고,줄자,미스토요,측정공구,10m,125,112740,14092500,judy,초도입고,
2025-11-03 10:43:00,입고,볼밸브,KPF,배관자재,40A,5,25229,126145,최주임,초도입고,
2025-11-03 11:02:00,입고,플라이어,세신,수공구,6인치,76,3180,241680,관리자,초도입고,
2025-11-03 11:09:00,출고,홀쏘,디월트,절삭공구,12x100,56,35281,1975736,박과장,거래처납품,
2025-11-03 11:17:00,입고,니퍼,세신,수공구,12인치,139,63423,8815797,최주임,거래처입고,
2025-11-03 11:21:00,입고,엔드밀,와이지원,절삭공구,8x75,44,20102,884488,이대리,초도입고,
2025-11-03 11:34:00,출고,깊은홈베어링,KOYO,베어링,6305,11,24782,272602,박과장,납품출고,
2025-11-03 11:40:00,입고,니플,세진,배관자재,25A,69,45997,3173793,judy,초도입고,
2025-11-03 11:59:00,입고,실리콘호스,세진,배관자재,2m,23,20102,462346,관리자,초도입고,
2025-11-03 12:03:00,출고,차단기,LS,전기자재,4SQ,29,64047,1857363,박과장,거래처납품,
2025-11-03 12:05:00,출고,케이블타이,서통,전기자재,20A,22,62029,1364638,이대리,현장출고,
2025-11-03 12:10:00,출고,나사고정제,나바켐,케미칼,1L,29,9399,272571,박과장,수리용출고,
2025-11-03 12:18:00,입고,부식제거제,나바켐,케미칼,420ml,49,22070,1081430,박과장,초도입고,
2025-11-03 12:23:00,출고,육각볼트,세아체결,볼트/너트,M6x1000,454,290,131660,이대리,매장판매,
2025-11-03 12:30:00,입고,평와셔,KBC,볼트/너트,M10x30,754,1423,1072942,관리자,긴급보충,
2025-11-03 12:32:00,출고,디지털각도기,카프로,측정공구,1/2인치,73,71880,5247240,이대리,거래처납품,
2025-11-03 12:37:00,입고,디지털각도기,카프로,측정공구,40m,131,171652,22486412,박과장,초도입고,
2025-11-03 12:49:00,출고,연마석,노턴,연마공구,5인치,119,13916,1656004,이대리,거래처납품,
2025-11-03 12:56:00,입고,아이볼트,세아체결,볼트/너트,M12x50,338,1104,373152,이대리,현장반납입고,
2025-11-03 12:56:00,입고,나사고정제,불스원,케미칼,360ml,107,38352,4103664,관리자,초도입고,
2025-11-03 12:58:00,입고,콤프레서호스,SP에어,에어공구,1/2인치,79,71547,5652213,judy,거래처입고,
2025-11-03 12:59:00,출고,안전화,3M,안전용품,M,59,4962,292758,관리자,급출고,
2025-11-03 13:15:00,입고,나사고정제,나바켐,케미칼,4L,99,39970,3957030,박과장,초도입고,
2025-11-03 13:34:00,입고,엘보,세진,배관자재,25A,2,45628,91256,judy,초도입고,
2025-11-03 13:35:00,입고,육각볼트,유진볼트,볼트/너트,M6x20,403,641,258323,관리자,안전재고보충,
2025-11-03 13:47:00,출고,망치,토네,수공구,8인치,25,59184,1479600,judy,납품출고,
2025-11-03 13:53:00,입고,PVC파이프,세진,배관자재,3m,39,10071,392769,관리자,초도입고,
2025-11-03 14:12:00,입고,원형톱,밀워키,전동공구,950W,4,228054,912216,관리자,초도입고,
2025-11-03 14:31:00,입고,홀쏘,보쉬,절삭공구,Φ6mm,142,37592,5338064,이대리,초도입고,
2025-11-03 14:50:00,입고,케이블타이,서통,전기자재,2.5SQ,22,53802,1183644,김기사,초도입고,
2025-11-03 15:09:00,입고,실린더,에너팩,유압기기,2m,16,382479,6119664,judy,초도입고,
2025-11-03 15:21:00,출고,파츠클리너,불스원,케미칼,1L,8,17185,137480,관리자,급출고,
2025-11-03 15:28:00,입고,케이블타이,3M,전기자재,100mm,172,18311,3149492,judy,초도입고,
2025-11-03 15:42:00,출고,드라이버세트,스탠리,수공구,6인치,60,70852,4251120,김기사,수리용출고,
2025-11-03 15:47:00,입고,나사고정제,록타이트,케미칼,4L,11,33164,364804,judy,초도입고,
2025-11-03 16:06:00,입고,임팩드라이버,마끼다,전동공구,12V,1,405125,405125,최주임,초도입고,
2025-11-03 16:07:00,출고,유압호스,에너팩,유압기기,20톤,2,335562,671124,박과장,납품출고,
2025-11-03 16:14:00,출고,실린더,베스코,유압기기,20톤,3,417926,1253778,박과장,현장출고,
2025-11-03 16:20:00,입고,충전드릴,보쉬,전동공구,12V,2,200026,400052,박과장,월초보충,
2025-11-03 16:25:00,출고,임팩드라이버,보쉬,전동공구,18V,5,240543,1202715,관리자,급출고,
2025-11-03 16:25:00,입고,탭,디월트,절삭공구,12x100,98,24518,2402764,김기사,초도입고,
2025-11-03 16:43:00,입고,망치,토네,수공구,8인치,14,43147,604058,박과장,긴급보충,
2025-11-03 16:44:00,입고,방진마스크,네파세이프티,안전용품,270,11,21261,233871,judy,초도입고,
2025-11-03 17:03:00,입고,토크렌치,신콘,측정공구,150mm,7,44417,310919,이대리,초도입고,
2025-11-03 17:22:00,입고,실리콘실란트,불스원,케미칼,4L,165,24721,4078965,judy,초도입고,
2025-11-03 17:36:00,출고,플랩디스크,노턴,연마공구,4인치,1,18365,18365,최주임,수리용출고,
2025-11-03 17:41:00,입고,압착단자,대한전선,전기자재,50A,20,76973,1539460,이대리,초도입고,
2025-11-03 18:00:00,입고,부식제거제,록타이트,케미칼,1L,66,23345,1540770,judy,초도입고,
2025-11-03 18:19:00,입고,육각볼트,유진볼트,볼트/너트,M12x50,444,1599,709956,이대리,초도입고,
